Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-941.0,	-1.0,	9408,	18943.0,	94982.0,	760384,	210.0,	27445.0,	760384,	0.0,	27698.0,	3542910,	
CB2a_1,	-20071.0,	-1.0,	200704,	-410.0,	-1.0,	4096,	3263.0,	23333.0,	200704,	127.0,	3262.0,	200704,	0.0,	3198.0,	404607,	
CB2a_2,	-20071.0,	-1.0,	200704,	-3687.0,	-1.0,	36864,	26595.0,	45257.0,	186624,	639.0,	26594.0,	186624,	0.0,	26558.0,	3401919,	
CB2a_3,	-20071.0,	-1.0,	200704,	-1639.0,	-1.0,	16384,	8319.0,	88602.0,	802816,	127.0,	12670.0,	802816,	0.0,	12606.0,	1618239,	
CB2s,	-20071.0,	-1.0,	200704,	-1639.0,	-1.0,	16384,	8319.0,	88602.0,	802816,	127.0,	12670.0,	802816,	0.0,	12606.0,	1618239,	
IB2b_1,	-52429.0,	8191.0,	802816,	-1639.0,	-1.0,	16384,	12671.0,	32741.0,	200704,	319.0,	12670.0,	200704,	0.0,	12606.0,	1618239,	
IB2b_2,	-20071.0,	-1.0,	200704,	-3687.0,	-1.0,	36864,	26595.0,	45257.0,	186624,	639.0,	26594.0,	186624,	0.0,	26558.0,	3401919,	
IB2b_3,	-20071.0,	-1.0,	200704,	-1639.0,	-1.0,	16384,	8319.0,	88602.0,	802816,	127.0,	12670.0,	802816,	0.0,	12606.0,	1618239,	
IB2c_1,	-52429.0,	8191.0,	802816,	-1639.0,	-1.0,	16384,	12671.0,	32741.0,	200704,	319.0,	12670.0,	200704,	0.0,	12606.0,	1618239,	
IB2c_2,	-20071.0,	-1.0,	200704,	-3687.0,	-1.0,	36864,	26595.0,	45257.0,	186624,	639.0,	26594.0,	186624,	0.0,	26558.0,	3401919,	
IB2c_3,	-20071.0,	-1.0,	200704,	-1639.0,	-1.0,	16384,	8319.0,	88602.0,	802816,	127.0,	12670.0,	802816,	0.0,	12606.0,	1618239,	
CB3a_1,	-20071.0,	-1.0,	200704,	-3277.0,	-1.0,	32768,	6720.0,	16755.0,	100352,	319.0,	6719.0,	100352,	0.0,	6718.0,	834111,	
CB3a_2,	-10036.0,	-1.0,	100352,	-14746.0,	-1.0,	147456,	25408.0,	34060.0,	86528,	1215.0,	25407.0,	86528,	0.0,	25406.0,	3204927,	
CB3a_3,	-10036.0,	-1.0,	100352,	-6554.0,	-1.0,	65536,	13286.0,	53426.0,	401408,	191.0,	13285.0,	401408,	0.0,	13374.0,	1668159,	
CB3s,	-20071.0,	-1.0,	200704,	-13108.0,	-1.0,	131072,	26598.0,	66738.0,	401408,	319.0,	26597.0,	401408,	0.0,	26686.0,	3336255,	
IB3b_1,	-40141.0,	-1.0,	401408,	-6554.0,	-1.0,	65536,	13376.0,	23411.0,	100352,	575.0,	13375.0,	100352,	0.0,	13374.0,	1668159,	
IB3b_2,	-10036.0,	-1.0,	100352,	-14746.0,	-1.0,	147456,	25408.0,	34060.0,	86528,	1215.0,	25407.0,	86528,	0.0,	25406.0,	3204927,	
IB3b_3,	-10036.0,	-1.0,	100352,	-6554.0,	-1.0,	65536,	13286.0,	53426.0,	401408,	191.0,	13285.0,	401408,	0.0,	13374.0,	1668159,	
IB3c_1,	-40141.0,	-1.0,	401408,	-6554.0,	-1.0,	65536,	13376.0,	23411.0,	100352,	575.0,	13375.0,	100352,	0.0,	13374.0,	1668159,	
IB3c_2,	-10036.0,	-1.0,	100352,	-14746.0,	-1.0,	147456,	25408.0,	34060.0,	86528,	1215.0,	25407.0,	86528,	0.0,	25406.0,	3204927,	
IB3c_3,	-10036.0,	-1.0,	100352,	-6554.0,	-1.0,	65536,	13286.0,	53426.0,	401408,	191.0,	13285.0,	401408,	0.0,	13374.0,	1668159,	
IB3d_1,	-40141.0,	-1.0,	401408,	-6554.0,	-1.0,	65536,	13376.0,	23411.0,	100352,	575.0,	13375.0,	100352,	0.0,	13374.0,	1668159,	
IB3d_2,	-10036.0,	-1.0,	100352,	-14746.0,	-1.0,	147456,	25408.0,	34060.0,	86528,	1215.0,	25407.0,	86528,	0.0,	25406.0,	3204927,	
IB3d_3,	-10036.0,	-1.0,	100352,	-6554.0,	-1.0,	65536,	13286.0,	53426.0,	401408,	191.0,	13285.0,	401408,	0.0,	13374.0,	1668159,	
CB4a_1,	-10036.0,	-1.0,	100352,	-13108.0,	-1.0,	131072,	8250.0,	13267.0,	50176,	575.0,	8249.0,	50176,	0.0,	8254.0,	933951,	
CB4a_2,	-5018.0,	-1.0,	50176,	-52429.0,	21065.0,	671744,	27682.0,	31368.0,	36864,	2367.0,	27681.0,	36864,	0.0,	27710.0,	3124287,	
CB4a_3,	-5018.0,	-1.0,	50176,	-26215.0,	-1.0,	262144,	16406.0,	36476.0,	200704,	319.0,	16405.0,	200704,	0.0,	16446.0,	1867839,	
CB4s,	-10036.0,	-1.0,	100352,	-52429.0,	-1.0,	524288,	32790.0,	52860.0,	200704,	575.0,	32789.0,	200704,	0.0,	32830.0,	3735615,	
IB4b_1,	-20071.0,	-1.0,	200704,	-26215.0,	-1.0,	262144,	16442.0,	21459.0,	50176,	1087.0,	16441.0,	50176,	0.0,	16446.0,	1867839,	
IB4b_2,	-5018.0,	-1.0,	50176,	-52429.0,	21065.0,	671744,	27682.0,	31368.0,	36864,	2367.0,	27681.0,	36864,	0.0,	27710.0,	3124287,	
IB4b_3,	-5018.0,	-1.0,	50176,	-26215.0,	-1.0,	262144,	16406.0,	36476.0,	200704,	319.0,	16405.0,	200704,	0.0,	16446.0,	1867839,	
IB4c_1,	-20071.0,	-1.0,	200704,	-26215.0,	-1.0,	262144,	16442.0,	21459.0,	50176,	1087.0,	16441.0,	50176,	0.0,	16446.0,	1867839,	
IB4c_2,	-5018.0,	-1.0,	50176,	-52429.0,	21065.0,	671744,	27682.0,	31368.0,	36864,	2367.0,	27681.0,	36864,	0.0,	27710.0,	3124287,	
IB4c_3,	-5018.0,	-1.0,	50176,	-26215.0,	-1.0,	262144,	16406.0,	36476.0,	200704,	319.0,	16405.0,	200704,	0.0,	16446.0,	1867839,	
IB4d_1,	-20071.0,	-1.0,	200704,	-26215.0,	-1.0,	262144,	16442.0,	21459.0,	50176,	1087.0,	16441.0,	50176,	0.0,	16446.0,	1867839,	
IB4d_2,	-5018.0,	-1.0,	50176,	-52429.0,	21065.0,	671744,	27682.0,	31368.0,	36864,	2367.0,	27681.0,	36864,	0.0,	27710.0,	3124287,	
IB4d_3,	-5018.0,	-1.0,	50176,	-26215.0,	-1.0,	262144,	16406.0,	36476.0,	200704,	319.0,	16405.0,	200704,	0.0,	16446.0,	1867839,	
IB4e_1,	-20071.0,	-1.0,	200704,	-26215.0,	-1.0,	262144,	16442.0,	21459.0,	50176,	1087.0,	16441.0,	50176,	0.0,	16446.0,	1867839,	
IB4e_2,	-5018.0,	-1.0,	50176,	-52429.0,	21065.0,	671744,	27682.0,	31368.0,	36864,	2367.0,	27681.0,	36864,	0.0,	27710.0,	3124287,	
IB4e_3,	-5018.0,	-1.0,	50176,	-26215.0,	-1.0,	262144,	16406.0,	36476.0,	200704,	319.0,	16405.0,	200704,	0.0,	16446.0,	1867839,	
IB4f_1,	-20071.0,	-1.0,	200704,	-26215.0,	-1.0,	262144,	16442.0,	21459.0,	50176,	1087.0,	16441.0,	50176,	0.0,	16446.0,	1867839,	
IB4f_2,	-5018.0,	-1.0,	50176,	-52429.0,	21065.0,	671744,	27682.0,	31368.0,	36864,	2367.0,	27681.0,	36864,	0.0,	27710.0,	3124287,	
IB4f_3,	-5018.0,	-1.0,	50176,	-26215.0,	-1.0,	262144,	16406.0,	36476.0,	200704,	319.0,	16405.0,	200704,	0.0,	16446.0,	1867839,	
RPN_Conv1,	-20071.0,	-1.0,	200704,	-52429.0,	213022.0,	14155776,	221158.0,	228530.0,	73728,	9279.0,	221157.0,	73728,	0.0,	221246.0,	24993855,	
RPN_Conv_bbox,	-10036.0,	-1.0,	100352,	-1844.0,	-1.0,	18432,	2087.0,	2792.0,	7056,	547.0,	2086.0,	7056,	0.0,	2082.0,	176163,	
RPN_Conv3_cls,	-10036.0,	-1.0,	100352,	-922.0,	-1.0,	9216,	2069.0,	2421.0,	3528,	529.0,	2068.0,	3528,	0.0,	2064.0,	139281,	
