IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
524288,	524288,	524288,	Conv1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB2a_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB2a_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB2a_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB2s,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB2b_1,	34,	10,	10,	128,	64,
524288,	524288,	524288,	IB2b_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB2b_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB2c_1,	34,	10,	10,	128,	64,
524288,	524288,	524288,	IB2c_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB2c_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB3a_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB3a_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB3a_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB3s,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3b_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3b_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3b_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3c_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3c_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3c_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3d_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3d_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB3d_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB4a_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB4a_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB4a_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	CB4s,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4b_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4b_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4b_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4c_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4c_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4c_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4d_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4d_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4d_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4e_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4e_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4e_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4f_1,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4f_2,	10,	10,	10,	128,	64,
524288,	524288,	524288,	IB4f_3,	10,	10,	10,	128,	64,
524288,	524288,	524288,	RPN_Conv1,	10,	64,	10,	128,	64,
524288,	524288,	524288,	RPN_Conv_bbox,	10,	10,	10,	128,	36,
524288,	524288,	524288,	RPN_Conv3_cls,	10,	10,	10,	128,	18,
