LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 51869, 0, 53.581498582968635, 99.50657894736842, 53.580465587044536,
1, 9309, 0, 33.68782898270491, 100.0, 33.68421052631578,
2, 32291, 0, 81.27341983834505, 99.04891304347827, 81.27090301003345,
3, 37239, 0, 33.68511506753672, 100.0, 33.68421052631578,
4, 37239, 0, 33.68511506753672, 100.0, 33.68421052631578,
5, 18717, 0, 67.01928727894428, 100.0, 67.01570680628272,
6, 32291, 0, 81.27341983834505, 99.04891304347827, 81.27090301003345,
7, 37239, 0, 33.68511506753672, 100.0, 33.68421052631578,
8, 18717, 0, 67.01928727894428, 100.0, 67.01570680628272,
9, 32291, 0, 81.27341983834505, 99.04891304347827, 81.27090301003345,
10, 37239, 0, 33.68511506753672, 100.0, 33.68421052631578,
11, 10695, 0, 62.907900888265544, 93.86160714285714, 62.90201944652206,
12, 28115, 0, 86.55877645385026, 96.02272727272727, 86.55569782330346,
13, 26415, 0, 47.488169600605715, 94.23076923076923, 47.48637189582071,
14, 42783, 0, 62.90348970385433, 93.86160714285714, 62.90201944652206,
15, 16587, 0, 75.62548984144209, 94.23076923076923, 75.62093079334458,
16, 28115, 0, 86.55877645385026, 96.02272727272727, 86.55569782330346,
17, 26415, 0, 47.488169600605715, 94.23076923076923, 47.48637189582071,
18, 16587, 0, 75.62548984144209, 94.23076923076923, 75.62093079334458,
19, 28115, 0, 86.55877645385026, 96.02272727272727, 86.55569782330346,
20, 26415, 0, 47.488169600605715, 94.23076923076923, 47.48637189582071,
21, 16587, 0, 75.62548984144209, 94.23076923076923, 75.62093079334458,
22, 28115, 0, 86.55877645385026, 96.02272727272727, 86.55569782330346,
23, 26415, 0, 47.488169600605715, 94.23076923076923, 47.48637189582071,
24, 10207, 0, 70.53982560987558, 87.890625, 70.53291536050156,
25, 29159, 0, 71.11354984738846, 75.0, 71.11111111111111,
26, 24447, 0, 51.31099930461815, 76.5625, 51.30890052356021,
27, 40831, 0, 70.53464279591486, 87.890625, 70.53291536050156,
28, 18399, 0, 68.1776183488233, 76.5625, 68.17391304347827,
29, 29159, 0, 71.11354984738846, 75.0, 71.11111111111111,
30, 24447, 0, 51.31099930461815, 76.5625, 51.30890052356021,
31, 18399, 0, 68.1776183488233, 76.5625, 68.17391304347827,
32, 29159, 0, 71.11354984738846, 75.0, 71.11111111111111,
33, 24447, 0, 51.31099930461815, 76.5625, 51.30890052356021,
34, 18399, 0, 68.1776183488233, 76.5625, 68.17391304347827,
35, 29159, 0, 71.11354984738846, 75.0, 71.11111111111111,
36, 24447, 0, 51.31099930461815, 76.5625, 51.30890052356021,
37, 18399, 0, 68.1776183488233, 76.5625, 68.17391304347827,
38, 29159, 0, 71.11354984738846, 75.0, 71.11111111111111,
39, 24447, 0, 51.31099930461815, 76.5625, 51.30890052356021,
40, 18399, 0, 68.1776183488233, 76.5625, 68.17391304347827,
41, 29159, 0, 71.11354984738846, 75.0, 71.11111111111111,
42, 24447, 0, 51.31099930461815, 76.5625, 51.30890052356021,
43, 224207, 0, 73.98876930693511, 75.0, 73.98843930635837,
44, 2551, 0, 34.57467659741278, 43.06640625, 34.56112852664577,
