LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 51725.0, 1778700, 1.0, 51807.0, 1787520, 146.0, 51869.0, 798720, -15202.0, -1.0, 150528, -1049.0, -1.0, 9408, 17618.0, 55777.0, 774463,
1, 1.0, 9247.0, 200704, 1.0, 9247.0, 200704, 63.0, 9309.0, 206976, -20444.0, -1.0, 200704, -525.0, -1.0, 4096, 9309.0, 12444.0, 200704,
2, 1.0, 32201.0, 1679616, 1.0, 32229.0, 1695744, 575.0, 32291.0, 192512, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 32291.0, 35206.0, 186624,
3, 1.0, 37177.0, 802816, 1.0, 37177.0, 802816, 63.0, 37239.0, 827904, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 12223.0, 37495.0, 802879,
4, 1.0, 37177.0, 802816, 1.0, 37177.0, 802816, 63.0, 37239.0, 827904, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 12223.0, 37495.0, 802879,
5, 1.0, 18655.0, 802816, 1.0, 18655.0, 802816, 255.0, 18717.0, 206976, -26210.0, 18258.0, 802816, -2097.0, -1.0, 16384, 18717.0, 21852.0, 200704,
6, 1.0, 32201.0, 1679616, 1.0, 32229.0, 1695744, 575.0, 32291.0, 192512, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 32291.0, 35206.0, 186624,
7, 1.0, 37177.0, 802816, 1.0, 37177.0, 802816, 63.0, 37239.0, 827904, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 12223.0, 37495.0, 802879,
8, 1.0, 18655.0, 802816, 1.0, 18655.0, 802816, 255.0, 18717.0, 206976, -26210.0, 18258.0, 802816, -2097.0, -1.0, 16384, 18717.0, 21852.0, 200704,
9, 1.0, 32201.0, 1679616, 1.0, 32229.0, 1695744, 575.0, 32291.0, 192512, -20444.0, -1.0, 200704, -4194.0, -1.0, 36864, 32291.0, 35206.0, 186624,
10, 1.0, 37177.0, 802816, 1.0, 37177.0, 802816, 63.0, 37239.0, 827904, -20444.0, -1.0, 200704, -2097.0, -1.0, 16384, 12223.0, 37495.0, 802879,
11, 1.0, 10230.0, 430592, 1.0, 10633.0, 458752, 255.0, 10695.0, 111232, -20444.0, -1.0, 200704, -3670.0, -1.0, 32768, 10695.0, 12376.0, 107648,
12, 1.0, 28025.0, 1557504, 1.0, 28053.0, 1622016, 1151.0, 28115.0, 89344, -10484.0, -1.0, 100352, -15202.0, -1.0, 147456, 28115.0, 29466.0, 86528,
13, 1.0, 26305.0, 802816, 1.0, 26353.0, 851968, 127.0, 26415.0, 414720, -10484.0, -1.0, 100352, -6815.0, -1.0, 65536, 17227.0, 28591.0, 401471,
14, 1.0, 42318.0, 1722368, 1.0, 42721.0, 1835008, 255.0, 42783.0, 444928, -20444.0, -1.0, 200704, -13630.0, -1.0, 131072, 25908.0, 45415.0, 430655,
15, 1.0, 16477.0, 802816, 1.0, 16525.0, 851968, 511.0, 16587.0, 103680, -26210.0, 15726.0, 802816, -6815.0, -1.0, 65536, 16587.0, 18154.0, 100352,
16, 1.0, 28025.0, 1557504, 1.0, 28053.0, 1622016, 1151.0, 28115.0, 89344, -10484.0, -1.0, 100352, -15202.0, -1.0, 147456, 28115.0, 29466.0, 86528,
17, 1.0, 26305.0, 802816, 1.0, 26353.0, 851968, 127.0, 26415.0, 414720, -10484.0, -1.0, 100352, -6815.0, -1.0, 65536, 17227.0, 28591.0, 401471,
18, 1.0, 16477.0, 802816, 1.0, 16525.0, 851968, 511.0, 16587.0, 103680, -26210.0, 15726.0, 802816, -6815.0, -1.0, 65536, 16587.0, 18154.0, 100352,
19, 1.0, 28025.0, 1557504, 1.0, 28053.0, 1622016, 1151.0, 28115.0, 89344, -10484.0, -1.0, 100352, -15202.0, -1.0, 147456, 28115.0, 29466.0, 86528,
20, 1.0, 26305.0, 802816, 1.0, 26353.0, 851968, 127.0, 26415.0, 414720, -10484.0, -1.0, 100352, -6815.0, -1.0, 65536, 17227.0, 28591.0, 401471,
21, 1.0, 16477.0, 802816, 1.0, 16525.0, 851968, 511.0, 16587.0, 103680, -26210.0, 15726.0, 802816, -6815.0, -1.0, 65536, 16587.0, 18154.0, 100352,
22, 1.0, 28025.0, 1557504, 1.0, 28053.0, 1622016, 1151.0, 28115.0, 89344, -10484.0, -1.0, 100352, -15202.0, -1.0, 147456, 28115.0, 29466.0, 86528,
23, 1.0, 26305.0, 802816, 1.0, 26353.0, 851968, 127.0, 26415.0, 414720, -10484.0, -1.0, 100352, -6815.0, -1.0, 65536, 17227.0, 28591.0, 401471,
24, 1.0, 10098.0, 460800, 1.0, 10145.0, 524288, 511.0, 10207.0, 59648, -10484.0, -1.0, 100352, -13630.0, -1.0, 131072, 10207.0, 11106.0, 57600,
25, 1.0, 29049.0, 1327104, 1.0, 29097.0, 1769472, 2303.0, 29159.0, 38400, -5242.0, -1.0, 50176, -26210.0, 23693.0, 933756, 29159.0, 29734.0, 36864,
